time,data
1842,28.14
1843,29.265
1846,29.64
1847,29.405
1848,29.315
1849,29.555
1850,29.34
1853,29.29
1854,29.595
1855,29.84
1856,29.925
1857,30.191
1860,30.12
1861,30.25
1862,30.46
1863,30.725
1864,30.568
1867,30.605
1868,30.29
1869,30.191
1870,30.798
1871,31.225
1875,31.311
1876,31.36
1877,31.285
1878,31.48
1881,31.295
1882,31.64
1883,31.813
1884,32.11
1885,32.193
1888,31.905
1889,31.548
1890,31.756
1891,32.025
1892,32.045
1895,32.005
1896,32.455
1897,32.651
1898,32.82
1899,32.755
1902,32.368
1903,32.045
1904,31.936
1905,31.903
1906,32.055
1909,32.39
1910,32.585
1911,32.356
1912,32.091
1913,32.328
1916,32.255
1917,32.05
1918,31.436
1919,31.335
1923,31.16
1924,30.765
1925,30.388
1926,30.728
1927,30.85
1930,31.033
1931,31.355
1932,31.21
1933,31.07
1934,32.285
1937,32.216
1938,32.065
1939,32.061
1940,32.115
1941,32.05
1944,31.998
1945,32.03
1946,31.826
1947,31.82
1948,31.215
1951,30.675
1952,30.491
1953,30.475
1954,30.8
1955,30.925
1958,30.75
1959,30.425
1960,30.105
1961,29.855
1962,29.53
1965,29.425
1966,29.725
1967,29.23
1968,29.116
1969,29.13
1973,29.47
1974,29.345
1975,29.245
1976,28.605
1979,28.585
1980,28.508
1981,29.116
1982,29.436
1983,29.43
1986,29.313
1987,29.195
1988,29.175
1989,29.335
1990,29.805
1993,29.915
1994,30.445
1995,30.93
1996,30.548
1997,30.5
2000,30.083
2001,30.01
2002,30.18
2003,29.945
2004,30.52
2007,30.59
2008,30.495
2010,30.645
2011,30.398
2014,30.061
2015,29.91
2016,29.506
2017,28.89
2018,29.076
2021,29.46
2022,29.65
2023,30.025
2024,30.588
2025,30.558
2028,29.425
2029,29.196
2030,29.035
2031,29.195
2032,29.618
2035,29.695
2036,29.475
2037,29.5
2038,29.201
2039,29.64
2042,29.975
2043,30.165
2044,30.27
2045,30.445
2046,30.46
2049,30.37
2050,30.215
2051,30.155
2052,30.571
2053,30.91
2056,30.78
2057,30.78
2058,30.565
2059,30.323
2060,30.405
2063,30.811
2064,30.665
2065,30.651
2066,30.425
2067,30.71
2071,30.418
2072,30.305
2073,30.923
2074,30.995
2077,30.775
2078,30.741
2079,30.86
2080,30.913
2081,31.11
2084,31.201
2085,31.138
2086,31.071
2087,31.2
2088,31.311
2091,30.89
2092,30.67
2093,30.223
2094,30.165
2095,29.97
2098,29.65
2099,29.67
2100,29.805
2101,30.0
2102,30.04
2105,29.71
2106,29.48
2107,29.065
2108,29.083
2109,29.085
2112,29.44
2113,29.47
2114,29.445
2115,29.573
2116,28.845
2119,28.366
2120,27.906
2121,28.031
2122,28.035
2123,28.035
2128,28.545
2129,29.178
2130,29.545
2133,29.625
2134,29.84
2135,29.305
2136,28.965
2137,28.855
2140,28.58
2141,27.055
2142,27.04
2143,26.771
2144,26.596
2147,26.764
2148,26.735
2149,26.83
2151,27.465
2154,27.463
2155,27.22
2156,27.186
2157,27.03
2158,26.833
2161,26.605
2162,26.436
2163,26.525
2164,26.768
2165,26.638
2168,26.75
2169,27.186
2170,27.385
2171,27.215
2172,26.96
2175,26.943
2176,27.405
2177,27.5
2178,27.52
2179,27.45
2182,27.13
2184,26.945
2185,26.925
2186,26.631
2189,26.65
2191,27.436
2192,27.44
2193,27.005
2196,26.73
2197,26.65
2198,26.71
2199,26.555
2200,26.66
2203,26.895
2204,27.02
2205,27.095
2206,27.22
2207,27.175
2211,27.225
2212,27.405
2213,27.665
2214,27.73
2217,27.961
2218,27.915
2219,27.93
2220,27.62
2221,27.8
2224,27.655
2225,27.558
2226,27.36
2227,27.317
2228,27.451
2231,27.755
2232,27.88
2233,27.98
2234,27.98
2235,28.025
2239,27.963
2240,28.0
2241,27.615
2242,27.72
2245,27.67
2246,27.375
2247,27.616
2248,27.84
2249,27.835
2252,28.0
2253,28.32
2254,28.15
2255,28.125
2256,28.125
2259,27.905
2260,27.875
2261,27.893
2262,28.068
2263,28.033
2266,27.991
2267,28.15
2268,28.328
2269,28.11
2270,28.22
2273,28.23
2274,28.198
2275,28.256
2276,28.463
2280,28.625
2281,28.695
2282,28.655
2283,28.493
2284,28.46
2287,28.66
2288,29.17
2289,29.925
2290,29.018
2291,28.82
2294,28.67
2295,28.935
2296,28.838
2297,28.87
2298,29.693
2301,30.565
2302,30.65
2303,31.19
2304,31.826
2305,31.845
2308,32.205
2309,32.83
2310,32.825
2311,32.895
2312,33.36
2315,33.585
2316,33.481
2317,33.029
2318,32.755
2319,32.68
2322,32.82
2323,33.196
2324,33.648
2325,33.86
2326,34.501
2329,34.905
2330,34.975
2331,34.7
2332,34.19
2333,34.095
2337,34.72
2338,34.81
2339,34.94
2340,34.86
2343,35.255
2344,35.305
2345,34.69
2346,34.901
2347,35.46
2350,35.49
2351,34.945
2352,35.07
2353,34.853
2354,34.475
2357,34.845
2358,34.975
2359,34.776
2360,33.875
2361,33.463
2364,33.328
2365,33.875
2366,34.235
2367,34.57
2368,34.463
2371,34.555
2372,34.175
2373,33.835
2375,34.151
2378,34.338
2379,34.465
2380,34.52
2381,35.343
2382,35.625
2385,35.915
2386,36.14
2387,36.041
2388,35.58
2389,31.9
2392,31.855
2393,31.866
2394,31.998
2395,31.506
2396,31.44
2399,31.505
2400,31.815
2401,31.905
2402,31.866
2403,31.79
2406,31.8
2407,31.565
2408,31.802
2409,32.565
2410,32.735
2413,32.665
2414,32.37
2415,32.246
2416,31.895
2417,31.795
2420,31.577
2421,31.53
2422,31.61
2423,32.288
2424,34.96
2427,34.275
2428,33.388
2429,33.205
2430,33.24
2431,33.385
2435,31.815
2436,31.293
2437,31.168
2438,31.231
2441,31.438
2442,32.145
2443,32.655
2444,32.705
2445,32.901
2448,33.091
2449,33.175
2450,33.155
2451,33.56
2452,33.101
2455,32.641
2456,32.663
2457,32.498
2458,32.705
2459,33.075
2462,33.14
2463,33.465
2464,33.64
2465,33.871
2466,33.785
2469,33.45
2470,33.16
2471,33.07
2472,33.535
2473,33.905
2476,34.175
2477,34.58
2478,34.621
2479,34.685
2480,34.89
2483,34.985
2484,34.8
2485,34.055
2486,33.77
2487,35.805
2490,35.59
2491,35.576
2492,35.535
2493,35.533
2494,35.598
2497,35.765
2498,36.215
2499,37.71
2500,37.731
2501,37.725
2504,37.64
2505,37.371
2506,37.568
2507,37.946
2508,37.896
2511,37.276
2512,36.795
2513,37.0
2514,37.335
2515,37.548
2518,37.785
2519,37.46
2520,37.585
2522,37.975
2525,38.27
2526,38.225
2527,38.575
2528,38.425
2529,38.39
2532,38.633
2533,38.36
2534,37.835
2535,37.43
2536,37.055
2539,36.808
2540,36.731
2541,36.471
2542,36.38
2543,36.5
2546,36.715
2547,36.9
2549,37.32
2550,37.435
2553,37.255
2554,37.405
2556,37.255
2557,37.055
2560,36.49
2561,36.368
2562,35.88
2563,35.705
2564,35.97
